step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
10000,0,-0.245,,21.556,658.6027018,867.8125,12.5,100.3,167.2835286,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.295753479,,
20000,0,-0.024,,35.795,769.3658512,1006.589844,7.894736842,100.3,169.0542763,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.278639555,0.02375008911,0.0006925470661
30000,0,0,,47.925,817.0761719,1016.144531,6,100.3,169.7828125,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.285048723,0.02440551296,0.001007286366
40000,0,-0.098,,63.915,851.759884,1016.144531,4.545454545,100.3,170.3420928,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.270608425,0.02634611912,0.001145214774
50000,0,0.251,,77.26,902.4152987,1202.882813,3.797468354,100.3,170.6296974,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.255409718,0.02988117747,0.000429668813
60000,0,0.285,,86.891,930.7690923,1202.882813,3.370786517,100.3,170.7937588,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.230776787,,
70000,0,0.171,,102.221,963.789363,1204.988281,2.884615385,100.3,170.9806941,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.201953888,0.02406633087,0.001854892471
80000,0,0.053,,115.06,986.5216012,1205.179688,2.564102564,100.3,171.103933,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.216513157,0.02980332449,0.000378514902
90000,0,-0.009,,129.787,1002.860687,1205.179688,2.290076336,100.3,171.2092975,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.180208683,0.02563053556,0.002653256292
100000,0,-0.202,,143.091,1016.683998,1205.179688,2.068965517,100.3,171.2943157,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.163139343,0.02958255634,0.003631733358
110000,0,0.067,,156.078,1026.745969,1205.179688,1.910828025,100.3,171.3551204,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.152149916,0.02677919902,0.0004301903246
120000,0,-0.314,,172.395,1038.43759,1205.179688,1.724137931,100.3,171.4269037,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.157407761,0.02184547856,0.003362554358
130000,0,-0.336,,185.168,1045.831989,1205.179688,1.612903226,100.3,171.4696741,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.116381407,0.02727020159,0.002437279793
140000,0,-0.106,,198.591,1052.561426,1205.179688,1.5,100.3,171.5130859,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.123800039,0.02479070984,0.00311435922
150000,0,-0.567,,213.976,1058.464517,1205.179688,1.395348837,100.3,171.5533249,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.128583431,0.02745735087,0.004917495884
160000,0,-0.17,,231.379,1064.333193,1205.179688,1.293103448,100.3,171.5926387,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.102938414,0.0251985658,0.002512688981
170000,0,0.199,,245.728,1069.987027,1205.179688,1.219512195,100.3,171.620935,173.8398438,poca,1024,10240,0.0005,0.005,0.2,0.9,4,constant,3.062749863,0.02229875699,0.001060716808
