step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
10000,0,-0.26,,24.263,703.8614005,954.671875,10.58148148,100.3,167.8213252,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.295730352,,
20000,0,0.106,,39.457,797.9464286,998.6992188,6.802380952,100.3,169.3457961,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.295730829,,
30000,0,0.115,,63.223,987.8780048,1464.542969,4.395384615,100.3,170.3167668,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.285850048,0.01825669594,0.002762366086
40000,0,0.087,,79.249,1081.879099,1480.527344,3.527160494,100.3,170.6670042,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.284168243,,
50000,0,-0.037,,111.167,1199.844856,1601.914063,2.528318584,100.3,171.0699322,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.272064209,0.01909659617,0.002069719834
60000,0,-0.182,,121.21,1220.890847,1601.914063,2.322764228,100.3,171.1528519,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.271850824,,
70000,0,0.059,,148.704,1270.194141,1601.914063,1.904666667,100.3,171.3215104,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.260793447,0.01350290328,0.001936836168
80000,0,0,,162.271,1288.700576,1601.914063,1.742073171,100.3,171.3870998,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.257345438,,
90000,0,-0.146,,191.608,1319.002955,1601.914063,1.480310881,100.3,171.4926935,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.26761508,0.01418174151,0.002224439522
100000,0,-0.333,,203.341,1324.320466,1601.914063,1.400490196,100.3,171.5248928,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.278904438,,
110000,0,-0.026,,235.716,1346.479691,1601.914063,1.21059322,100.3,171.6014963,173.8398438,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.267205238,0.01878992841,0.004106673878
