step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
10000,0,-0.364,,22.5,664.3140625,894.640625,14.764,183.7,910.22625,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.295768023,,
20000,0,0,,37.324,771.9888672,980.125,9.2275,183.7,886.7024414,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.295765638,,
30000,0,0,,38.113,777.789253,1009.804688,9.002439024,183.7,885.746189,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,
40000,0,0.054,,64.237,910.3009562,1216.050781,5.508955224,183.7,870.8804804,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.286954641,0.01667022705,0.0009018864366
50000,0,-0.163,,70.905,924.7443279,1216.050781,5.056164384,183.7,875.4447774,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.287198782,,
60000,0,0.072,,90.514,971.8914651,1229.742188,3.968817204,183.7,873.6661626,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.287417173,0.01265293267,0.002195440233
70000,0,0.19,,98.994,984.799737,1229.742188,3.654455446,183.7,870.4695235,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.281667948,,
80000,0,0.113,,115.829,1007.662043,1229.742188,3.127966102,183.7,865.1158302,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.273474693,0.01856253669,0.0008699211176
90000,0,0.025,,124.672,1016.229915,1229.742188,2.906299213,183.7,862.8438115,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.272547483,,
100000,0,-0.055,,143.225,1033.364494,1236.128906,2.545517241,183.7,865.2019397,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.262691498,0.019479068,0.002805929864
110000,0,-0.302,,155.82,1041.98927,1236.128906,2.336075949,183.7,866.9142356,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.250034571,,
120000,0,-0.167,,168.616,1051.909099,1236.128906,2.171176471,183.7,868.8225873,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.252454281,0.01289157569,0.003683089511
130000,0,0.225,,180.358,1055.621094,1236.128906,2.028021978,183.7,870.4136976,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.261004686,,
140000,0,-0.201,,195.272,1063.030853,1239.253906,1.873604061,183.7,867.9983344,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.241273642,0.01568045653,0.00232200441
150000,0,-0.179,,205.218,1065.09409,1239.253906,1.783091787,183.7,866.056801,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.243299246,,
160000,0,0.342,,222.902,1071.748308,1239.253906,1.647767857,183.7,863.0461949,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.221159697,0.01286803186,0.003773662262
170000,0,-0.245,,233.209,1073.756861,1239.253906,1.577350427,183.7,861.4134448,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.223080635,,
180000,0,-0.095,,248.696,1080.284891,1239.777344,1.4764,183.7,859.0727344,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.225506067,0.01502394862,0.003028485924
190000,0,-0.358,,260.796,1083.859703,1239.777344,1.408778626,183.7,857.5048157,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.208571672,,
200000,0,0.041,,269.413,1086.768056,1239.777344,1.367037037,183.7,856.5369647,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.211194515,,
210000,0,-0.247,,291.734,1087.053524,1239.777344,1.264041096,183.7,854.1488254,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.229422569,0.01767519116,0.002217373112
220000,0,-0.159,,300.883,1086.828398,1239.777344,1.226245847,183.7,853.2724772,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.219969988,,
230000,0,-0.163,,320.902,1087.833394,1239.777344,1.149844237,183.7,851.5009735,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.209567547,0.01931018382,0.002777462825
240000,0,0.052,,328.848,1087.945075,1239.777344,1.121884498,183.7,850.8526786,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.213313818,,
250000,0,-0.196,,345.913,1091.289841,1239.777344,1.066763006,183.7,849.5745913,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.216317177,0.01909600757,0.003031823318
260000,0,-0.046,,352.54,1092.053678,1239.777344,1.048579545,183.7,849.1529763,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.184433222,,
270000,0,-0.201,,375.42,1095.341146,1239.777344,0.9842666667,183.7,847.3821042,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.227168798,0.01634120569,0.003101657843
280000,0,-0.162,,384.966,1095.445952,1239.777344,0.9587012987,183.7,849.6689631,1105.863281,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,3.185433149,,
