step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
20000,0,-0.261,,40.031,795.0748547,1014.519531,6,100.3,1060.745367,1175.191406,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.295780182,,
40000,0,-0.039,,57.783,865.4152995,1082.566406,4.3,100.3,1075.664453,1175.191406,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.295780659,,
60000,0,-0.152,,126.79,1121.509902,1813.792969,2,100.3,1055.874092,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.293320179,0.01624017954,0.003212459618
80000,0,-0.01,,146.071,1116.167151,1813.792969,1.743243243,100.3,1061.386508,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.291478634,,
100000,0,0.01,,215.379,1232.222711,1954.78125,1.194444444,100.3,1069.332682,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.284528255,0.01501679793,0.002103356645
120000,0,-0.066,,242.269,1214.434848,1954.78125,1.061728395,100.3,1071.019258,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.280815125,,
140000,0,-0.022,,307.259,1278.722567,1980.105469,0.8403908795,100.3,1077.920526,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.280214071,0.01029714383,0.002749527572
160000,0,-0.226,,330.65,1264.713003,1980.105469,0.7794561934,100.3,1075.597833,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.269797325,,
180000,0,0.147,,395.913,1309.759128,1980.105469,0.653164557,100.3,1069.267267,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.276683331,0.01313315704,0.001967750257
200000,0,-0.169,,417.199,1311.21244,1980.105469,0.6201923077,100.3,1070.092698,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.269563913,,
220000,0,-0.083,,478.916,1346.449432,1980.105469,0.5408805031,100.3,1075.756822,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.25927949,0.009510655887,0.002344032982
240000,0,-0.261,,500.254,1346.412857,1980.105469,0.5170340681,100.3,1075.317737,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.257610559,,
260000,0,-0.204,,572.11,1371.488165,1994.953125,0.4526315789,100.3,1078.84928,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.258215427,0.01086420007,0.00245428225
280000,0,0.014,,592.46,1362.463983,1994.953125,0.4372881356,100.3,1078.421868,1229.085938,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.260304213,,
300000,0,0,,672.345,1380.193386,2008.644531,0.3856502242,100.3,1082.589669,1260.074219,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.257066965,0.01159217861,0.0009192423895
320000,0,-0.301,,709.436,1362.958459,2008.644531,0.3654390935,100.3,1075.753602,1260.074219,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.249286413,,
