step,mean_reward,mean_group_reward,std_reward,timestamp,run_id,environment,algorithm,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
10000,0.0,-0.021,,2025-11-23 08:54:55,SCTWRUN1,multi-agent,poca,584.8423295454545,707.015625,74.83636363636361,1268.8,,
20000,0.0,-0.143,,2025-11-23 08:55:24,SCTWRUN1,multi-agent,poca,661.0806934931506,795.8125,66.15342465753426,1268.8,,
30000,0.0,-0.182,,2025-11-23 08:55:56,SCTWRUN1,multi-agent,poca,884.1330357142857,1434.328125,70.67809523809527,1268.8,,
40000,0.0,-0.064,,2025-11-23 08:56:25,SCTWRUN1,multi-agent,poca,1001.752681902985,1437.28125,66.54552238805972,1268.8,,
50000,0.0,0.075,,2025-11-23 08:57:03,SCTWRUN1,multi-agent,poca,1117.4399671052631,1598.15625,68.97192982456146,1268.8,,
60000,0.0,0.286,,2025-11-23 08:57:15,SCTWRUN1,multi-agent,poca,1148.3306725543478,1598.15625,67.79945652173917,1268.8,,
70000,0.0,-0.182,,2025-11-23 08:58:03,SCTWRUN1,multi-agent,poca,1215.025390625,1602.46875,68.49612068965521,1268.8,,
80000,0.0,0.005,,2025-11-23 08:58:28,SCTWRUN1,multi-agent,poca,1234.7092895507812,1602.46875,66.96328125000004,1268.8,,
90000,0.0,0.07,,2025-11-23 08:58:54,SCTWRUN1,multi-agent,poca,1254.0724179964539,1602.46875,68.84858156028373,1268.8,,
100000,0.0,0.025,,2025-11-23 08:59:23,SCTWRUN1,multi-agent,poca,1273.1636856913183,1602.46875,67.27749196141484,1268.8,,
110000,0.0,-0.5,,2025-11-23 08:59:56,SCTWRUN1,multi-agent,poca,1292.1505723110465,1602.46875,68.53604651162796,1268.8,,
120000,0.0,0.026,,2025-11-23 09:00:13,SCTWRUN1,multi-agent,poca,1300.8633569944598,1602.46875,67.7537396121884,1268.8,,
130000,0.0,0.179,,2025-11-23 09:01:02,SCTWRUN1,multi-agent,poca,1319.6829649390245,1602.46875,68.1136585365854,1268.8,,
140000,0.0,-0.167,,2025-11-23 09:01:25,SCTWRUN1,multi-agent,poca,1324.2926530023094,1602.46875,67.25958429561203,1268.8,,
150000,0.0,-0.727,,2025-11-23 09:01:53,SCTWRUN1,multi-agent,poca,1330.3217529826463,1602.46875,68.36637744034708,1268.8,,
160000,0.0,-0.292,,2025-11-23 09:02:16,SCTWRUN1,multi-agent,poca,1334.5209517045455,1602.46875,67.5977272727273,1268.8,,
170000,0.0,-0.184,,2025-11-23 09:02:49,SCTWRUN1,multi-agent,poca,1340.550411025145,1602.46875,68.39361702127661,1268.8,,
180000,0.0,-0.591,,2025-11-23 09:03:20,SCTWRUN1,multi-agent,poca,1346.8855497262773,1602.46875,67.47354014598542,1268.8,,
190000,0.0,0.065,,2025-11-23 09:03:49,SCTWRUN1,multi-agent,poca,1352.0269911024307,1602.46875,66.6979166666667,1268.8,,
200000,0.0,-0.076,,2025-11-23 09:04:13,SCTWRUN1,multi-agent,poca,1355.6475,1602.46875,67.70516666666668,1268.8,,
210000,0.0,-0.137,,2025-11-23 09:04:51,SCTWRUN1,multi-agent,poca,1359.7616085423197,1602.46875,66.75250783699065,1268.8,,
