run_id,batch_size,hidden_units,num_layers,peak_ram_kb,avg_ram_kb
Soccer_B512_H128_L2_175039,512,128,2,780948.00,737261.79
Soccer_B512_H128_L3_182248,512,128,3,778456.00,676047.97
Soccer_B512_H256_L1_190155,512,256,1,794884.00,748875.50
Soccer_B512_H256_L2_195952,512,256,2,830692.00,773805.66
Soccer_B512_H256_L3_210609,512,256,3,831300.00,771715.53
Soccer_B512_H512_L1_215838,512,512,1,894356.00,868639.41
Soccer_B512_H512_L2_225903,512,512,2,922844.00,899445.54
Soccer_B512_H512_L3_001100,512,512,3,969076.00,940736.58
Soccer_B1024_H128_L1_011915,1024,128,1,828856.00,757335.20
Soccer_B1024_H128_L2_020437,1024,128,2,835956.00,757157.01
Soccer_B1024_H128_L3_030015,1024,128,3,838988.00,766092.45
Soccer_B1024_H256_L1_034616,1024,256,1,889308.00,857540.96
Soccer_B1024_H256_L2_042829,1024,256,2,916188.00,878130.86
Soccer_B1024_H256_L3_051203,1024,256,3,947368.00,914835.55
Soccer_B1024_H512_L1_055804,1024,512,1,1058396.00,1019623.26
Soccer_B1024_H512_L2_065955,1024,512,2,1134136.00,1102717.28
Soccer_B1024_H512_L3_075559,1024,512,3,1187840.00,1135080.48
Soccer_B2048_H128_L1_092341,2048,128,1,932328.00,685087.40
Soccer_B2048_H128_L2_110205,2048,128,2,960364.00,774438.10
Soccer_B2048_H128_L3_114815,2048,128,3,959736.00,921821.00
Soccer_B2048_H256_L1_123216,2048,256,1,1143184.00,1098394.36
Soccer_B2048_H256_L2_132907,2048,256,2,1155948.00,1120994.10
Soccer_B2048_H256_L3_141214,2048,256,3,1171852.00,1138000.19
Soccer_B2048_H512_L1_145401,2048,512,1,1344444.00,1304165.72
Soccer_B2048_H512_L2_154538,2048,512,2,1416360.00,1355634.05
Soccer_B2048_H512_L3_164608,2048,512,3,1490676.00,1098332.53
