run_number,run_id,Peak_RAM_KB,Avg_RAM_KB,Peak_CPU_%,Final_Reward
1,Soccer_Test_Run1_195947,1149044.00,1110937.37,41.6,-1.10
2,Soccer_Test_Run2_205103,1145652.00,1091090.78,37.3,-0.96
3,Soccer_Test_Run3_215445,1166964.00,1086771.84,37.8,-1.04
4,Soccer_Test_Run4_234526,1156864.00,1097409.26,39.7,-0.94
5,Soccer_Test_Run5_004557,1141880.00,1111504.15,36.7,-1.10
6,Soccer_Test_Run6_014513,1137464.00,1110789.72,53.5,-1.06
7,Soccer_Test_Run7_025958,1139044.00,1111008.47,32.5,-1.06
8,Soccer_Test_Run8_040211,1139156.00,1108434.66,31.2,-1.10
9,Soccer_Test_Run9_045813,1142928.00,1107954.36,32.6,-1.03
10,Soccer_Test_Run10_060443,1153820.00,1120969.79,31.5,-1.09
11,Soccer_Test_Run11_071858,1141268.00,1104556.52,31.9,-1.07
12,Soccer_Test_Run12_080822,1138524.00,1108574.89,30.9,-1.09
13,Soccer_Test_Run13_090246,1147220.00,1111841.56,32.2,-1.02
14,Soccer_Test_Run14_101225,1146564.00,1112810.97,31.2,-1.09
15,Soccer_Test_Run15_112939,1146112.00,1114159.95,34.2,-1.01
16,Soccer_Test_Run16_123227,1133024.00,1104224.87,33.4,-1.10
17,Soccer_Test_Run17_133300,1135204.00,1103802.12,32.9,-1.06
18,Soccer_Test_Run18_143024,1140916.00,1086307.67,69.3,-1.01
