run_id,batch_size,hidden_units,num_layers,duration_sec,final_reward
Soccer_B512_H128_L2_175039,512,128,2,1585.31,-1.10
Soccer_B512_H128_L3_182248,512,128,3,2337.10,-1.06
Soccer_B512_H256_L1_190155,512,256,1,3466.73,-1.09
Soccer_B512_H256_L2_195952,512,256,2,3967.75,-0.99
Soccer_B512_H256_L3_210609,512,256,3,3138.28,-1.04
Soccer_B512_H512_L1_215838,512,512,1,3615.19,-1.05
Soccer_B512_H512_L2_225903,512,512,2,4307.36,-0.99
Soccer_B512_H512_L3_001100,512,512,3,4084.71,-0.93
Soccer_B1024_H128_L1_011915,1024,128,1,2712.31,-1.09
Soccer_B1024_H128_L2_020437,1024,128,2,3327.52,-1.05
Soccer_B1024_H128_L3_030015,1024,128,3,2751.02,-1.06
Soccer_B1024_H256_L1_034616,1024,256,1,2523.25,-1.06
Soccer_B1024_H256_L2_042829,1024,256,2,2603.98,-1.10
Soccer_B1024_H256_L3_051203,1024,256,3,2750.99,-1.00
Soccer_B1024_H512_L1_055804,1024,512,1,3700.42,-1.10
Soccer_B1024_H512_L2_065955,1024,512,2,3354.30,-1.09
Soccer_B1024_H512_L3_075559,1024,512,3,5251.49,-1.06
Soccer_B2048_H128_L1_092341,2048,128,1,5894.18,-1.05
Soccer_B2048_H128_L2_110205,2048,128,2,2760.25,-1.06
Soccer_B2048_H128_L3_114815,2048,128,3,2630.83,-1.08
Soccer_B2048_H256_L1_123216,2048,256,1,3401.28,-1.09
Soccer_B2048_H256_L2_132907,2048,256,2,2576.67,-1.01
Soccer_B2048_H256_L3_141214,2048,256,3,2497.13,-1.04
Soccer_B2048_H512_L1_145401,2048,512,1,3087.17,-1.07
Soccer_B2048_H512_L2_154538,2048,512,2,3619.91,-1.06
Soccer_B2048_H512_L3_164608,2048,512,3,4907.45,-1.07
