run_number,run_id,duration_sec,mean_reward
1,Soccer_Test_Run1_195947,3065.72,-1.10
2,Soccer_Test_Run2_205103,3812.55,-0.96
3,Soccer_Test_Run3_215445,6630.28,-1.04
4,Soccer_Test_Run4_234526,3621.53,-0.94
5,Soccer_Test_Run5_004557,3545.58,-1.10
6,Soccer_Test_Run6_014513,4475.11,-1.06
7,Soccer_Test_Run7_025958,3723.53,-1.06
8,Soccer_Test_Run8_040211,3351.79,-1.10
9,Soccer_Test_Run9_045813,3979.38,-1.03
10,Soccer_Test_Run10_060443,4445.62,-1.09
11,Soccer_Test_Run11_071858,2953.30,-1.07
12,Soccer_Test_Run12_080822,3253.95,-1.09
13,Soccer_Test_Run13_090246,4169.60,-1.02
14,Soccer_Test_Run14_101225,4623.36,-1.09
15,Soccer_Test_Run15_112939,3758.71,-1.01
16,Soccer_Test_Run16_123227,3622.76,-1.10
17,Soccer_Test_Run17_133300,3434.00,-1.06
18,Soccer_Test_Run18_143024,5863.02,-1.01
