strategy;game_play;max_steps;batch_size;num_layers;hidden_units;buffer_units;total_duration
poca;soccer;20000;8964;;;64705;114.17117738723756
poca;soccer;960000;2048;;;20480;13467.23175907135
poca;soccer;640000;4096;;;20480;9154.910551309586
poca;soccer;420000;2048;;;20480;27806.82258176804
poca;soccer;430000;2048;;;20480;27800.90120983124
poca;soccer;430000;2048;;;20480;27792.197502851486
poca;soccer;430000;2048;;;20480;27786.516070842743
poca;soccer;430000;2048;;;20480;27780.84646821022
poca;soccer;1660000;9177;;;34489;33313.7770049572
poca;soccer;700000;9177;;;34489;13038.491500616074
poca;soccer;2040000;9177;;;34489;33280.45528674126
poca;soccer;690000;9177;;;34489;12907.254943609238
poca;soccer;950000;2048;;;20480;13398.03617310524
poca;soccer;1630000;9177;;;34489;33268.25992059708
poca;soccer;1580000;3405;;;63125;31451.226357221603
poca;soccer;1570000;3405;;;63125;31448.11922979355
poca;soccer;2030000;3405;;;63125;31442.287262678143
poca;soccer;1600000;3405;;;63125;26545.81520342827
poca;soccer;1880000;3405;;;63125;31429.488402843475
poca;soccer;870000;5835;;;70460;19828.83761239052
poca;soccer;2950000;5835;;;70460;36575.38700699806
poca;soccer;2800000;5835;;;70460;34964.747215271
poca;soccer;940000;2048;;;20480;13369.20175242424
poca;soccer;730000;5835;;;70460;17307.94295668602
poca;soccer;940000;2048;;;20480;13338.278447151184
poca;soccer;940000;2048;;;20480;13318.776694059372
poca;soccer;640000;4096;;;20480;9181.32715511322
poca;soccer;640000;4096;;;20480;9174.959064483644
poca;soccer;620000;4096;;;20480;9167.66248846054
poca;soccer;640000;4096;;;20480;9161.578250169754
poca;soccer;160000;5245;;;95835;939.7459704875946
poca;soccer;700000;2048;;;20480;5710.432734489441
poca;soccer;1600000;2048;;;20480;20568.13388299942
poca;soccer;1590000;2048;;;20480;20635.65886068344
poca;soccer;1600000;2048;;;20480;20644.586870908737
poca;soccer;850000;2048;;;20480;9006.747295379639
poca;soccer;1620000;2048;;;20480;17361.37713456154
poca;soccer;1630000;2048;;;20480;17348.95117688179
poca;soccer;1800000;2048;;;20480;16574.29940724373
poca;soccer;1590000;2048;;;20480;17719.961042165756
poca;soccer;1580000;2048;;;20480;17706.060285806656
poca;soccer;670000;2048;;;20480;7134.861765623093
poca;soccer;660000;2048;;;20480;7082.208986520767
poca;soccer;970000;2048;;;20480;10351.539359807968
poca;soccer;1370000;2048;;;20480;15316.471497297289
poca;soccer;1370000;2048;;;20480;15307.744201660156
poca;soccer;1020000;2048;;;20480;11573.149740695952
poca;soccer;510000;2048;;;20480;8108.97464799881
poca;soccer;510000;2048;;;20480;8104.788193702698
