Second;RAM_KB
0;13360.00000000000000000000000000000000000000000000000000
1;326124.00000000000000000000000000000000000000000000000000
2;376168.00000000000000000000000000000000000000000000000000
3;698076.00000000000000000000000000000000000000000000000000
4;748528.00000000000000000000000000000000000000000000000000
5;804312.00000000000000000000000000000000000000000000000000
6;898784.00000000000000000000000000000000000000000000000000
7;930828.00000000000000000000000000000000000000000000000000
8;936448.00000000000000000000000000000000000000000000000000
9;976572.00000000000000000000000000000000000000000000000000
10;980684.00000000000000000000000000000000000000000000000000
11;986236.00000000000000000000000000000000000000000000000000
12;988808.00000000000000000000000000000000000000000000000000
13;993128.00000000000000000000000000000000000000000000000000
14;997668.00000000000000000000000000000000000000000000000000
15;1001440.00000000000000000000000000000000000000000000000000
16;1007916.00000000000000000000000000000000000000000000000000
17;1010572.00000000000000000000000000000000000000000000000000
18;1015732.00000000000000000000000000000000000000000000000000
19;1019924.00000000000000000000000000000000000000000000000000
20;1024912.00000000000000000000000000000000000000000000000000
21;1028200.00000000000000000000000000000000000000000000000000
22;1032768.00000000000000000000000000000000000000000000000000
23;1037856.00000000000000000000000000000000000000000000000000
24;1041000.00000000000000000000000000000000000000000000000000
25;1046408.00000000000000000000000000000000000000000000000000
26;1050140.00000000000000000000000000000000000000000000000000
27;1054564.00000000000000000000000000000000000000000000000000
28;1059620.00000000000000000000000000000000000000000000000000
29;1063508.00000000000000000000000000000000000000000000000000
30;1068784.00000000000000000000000000000000000000000000000000
31;1072948.00000000000000000000000000000000000000000000000000
32;1078768.00000000000000000000000000000000000000000000000000
33;1081728.00000000000000000000000000000000000000000000000000
34;1085608.00000000000000000000000000000000000000000000000000
35;1091528.00000000000000000000000000000000000000000000000000
36;1095588.00000000000000000000000000000000000000000000000000
37;1099468.00000000000000000000000000000000000000000000000000
38;1102492.00000000000000000000000000000000000000000000000000
39;1108072.00000000000000000000000000000000000000000000000000
40;1115388.00000000000000000000000000000000000000000000000000
41;1119448.00000000000000000000000000000000000000000000000000
42;1122476.00000000000000000000000000000000000000000000000000
43;1124472.00000000000000000000000000000000000000000000000000
44;1129688.00000000000000000000000000000000000000000000000000
45;1133776.00000000000000000000000000000000000000000000000000
46;1137276.00000000000000000000000000000000000000000000000000
47;1142228.00000000000000000000000000000000000000000000000000
48;1148100.00000000000000000000000000000000000000000000000000
49;1152092.00000000000000000000000000000000000000000000000000
50;1156688.00000000000000000000000000000000000000000000000000
51;1160468.00000000000000000000000000000000000000000000000000
52;1163952.00000000000000000000000000000000000000000000000000
53;1169624.00000000000000000000000000000000000000000000000000
54;1172968.00000000000000000000000000000000000000000000000000
55;1177420.00000000000000000000000000000000000000000000000000
56;1177420.00000000000000000000000000000000000000000000000000
57;1415224.00000000000000000000000000000000000000000000000000
58;1415440.00000000000000000000000000000000000000000000000000
59;1415164.00000000000000000000000000000000000000000000000000
60;1415528.00000000000000000000000000000000000000000000000000
61;1415132.00000000000000000000000000000000000000000000000000
62;1415324.00000000000000000000000000000000000000000000000000
63;1415272.00000000000000000000000000000000000000000000000000
64;1415328.00000000000000000000000000000000000000000000000000
65;1415308.00000000000000000000000000000000000000000000000000
66;1415084.00000000000000000000000000000000000000000000000000
67;1415440.00000000000000000000000000000000000000000000000000
68;1415440.00000000000000000000000000000000000000000000000000
69;1415380.00000000000000000000000000000000000000000000000000
70;1415592.00000000000000000000000000000000000000000000000000
71;1415160.00000000000000000000000000000000000000000000000000
72;1415436.00000000000000000000000000000000000000000000000000
73;1415192.00000000000000000000000000000000000000000000000000
74;1415380.00000000000000000000000000000000000000000000000000
75;1415436.00000000000000000000000000000000000000000000000000
76;1415192.00000000000000000000000000000000000000000000000000
77;1415440.00000000000000000000000000000000000000000000000000
78;1415436.00000000000000000000000000000000000000000000000000
79;1415196.00000000000000000000000000000000000000000000000000
80;1415440.00000000000000000000000000000000000000000000000000
81;1415196.00000000000000000000000000000000000000000000000000
82;1415380.00000000000000000000000000000000000000000000000000
83;1415192.00000000000000000000000000000000000000000000000000
84;1415380.00000000000000000000000000000000000000000000000000
85;1415384.00000000000000000000000000000000000000000000000000
86;1415384.00000000000000000000000000000000000000000000000000
87;1415160.00000000000000000000000000000000000000000000000000
88;1415196.00000000000000000000000000000000000000000000000000
89;1415312.00000000000000000000000000000000000000000000000000
90;1415440.00000000000000000000000000000000000000000000000000
91;1415436.00000000000000000000000000000000000000000000000000
