Second;RAM_KB
0;13904.00000000000000000000000000000000000000000000000000
1;326552.00000000000000000000000000000000000000000000000000
2;375556.00000000000000000000000000000000000000000000000000
3;697264.00000000000000000000000000000000000000000000000000
4;748752.00000000000000000000000000000000000000000000000000
5;804512.00000000000000000000000000000000000000000000000000
6;900792.00000000000000000000000000000000000000000000000000
7;933360.00000000000000000000000000000000000000000000000000
8;972348.00000000000000000000000000000000000000000000000000
9;980768.00000000000000000000000000000000000000000000000000
10;990020.00000000000000000000000000000000000000000000000000
11;996144.00000000000000000000000000000000000000000000000000
12;1000436.00000000000000000000000000000000000000000000000000
13;1006504.00000000000000000000000000000000000000000000000000
14;1010112.00000000000000000000000000000000000000000000000000
15;1014480.00000000000000000000000000000000000000000000000000
16;1019876.00000000000000000000000000000000000000000000000000
17;1026492.00000000000000000000000000000000000000000000000000
18;1032324.00000000000000000000000000000000000000000000000000
19;1036136.00000000000000000000000000000000000000000000000000
20;1042100.00000000000000000000000000000000000000000000000000
21;1047988.00000000000000000000000000000000000000000000000000
22;1052612.00000000000000000000000000000000000000000000000000
23;1058748.00000000000000000000000000000000000000000000000000
24;1063912.00000000000000000000000000000000000000000000000000
25;1071184.00000000000000000000000000000000000000000000000000
26;1074944.00000000000000000000000000000000000000000000000000
27;1079620.00000000000000000000000000000000000000000000000000
28;1086004.00000000000000000000000000000000000000000000000000
29;1092624.00000000000000000000000000000000000000000000000000
30;1097536.00000000000000000000000000000000000000000000000000
31;1101620.00000000000000000000000000000000000000000000000000
32;1105844.00000000000000000000000000000000000000000000000000
33;1112596.00000000000000000000000000000000000000000000000000
34;1117108.00000000000000000000000000000000000000000000000000
35;1121440.00000000000000000000000000000000000000000000000000
36;1129284.00000000000000000000000000000000000000000000000000
37;1132432.00000000000000000000000000000000000000000000000000
38;1137252.00000000000000000000000000000000000000000000000000
39;1141904.00000000000000000000000000000000000000000000000000
40;1148616.00000000000000000000000000000000000000000000000000
41;1153680.00000000000000000000000000000000000000000000000000
42;1159032.00000000000000000000000000000000000000000000000000
43;1164084.00000000000000000000000000000000000000000000000000
44;1170648.00000000000000000000000000000000000000000000000000
45;1176108.00000000000000000000000000000000000000000000000000
46;1180800.00000000000000000000000000000000000000000000000000
47;1180808.00000000000000000000000000000000000000000000000000
48;1452516.00000000000000000000000000000000000000000000000000
49;1452820.00000000000000000000000000000000000000000000000000
50;1452820.00000000000000000000000000000000000000000000000000
51;1452304.00000000000000000000000000000000000000000000000000
52;1452856.00000000000000000000000000000000000000000000000000
53;1452848.00000000000000000000000000000000000000000000000000
54;1452852.00000000000000000000000000000000000000000000000000
55;1452848.00000000000000000000000000000000000000000000000000
56;1452864.00000000000000000000000000000000000000000000000000
57;1452820.00000000000000000000000000000000000000000000000000
58;1452248.00000000000000000000000000000000000000000000000000
59;1451688.00000000000000000000000000000000000000000000000000
60;1453004.00000000000000000000000000000000000000000000000000
61;1453492.00000000000000000000000000000000000000000000000000
62;1453456.00000000000000000000000000000000000000000000000000
