Second;RAM_KB
0;9420.00000000000000000000000000000000000000000000000000
1;198220.00000000000000000000000000000000000000000000000000
2;325524.00000000000000000000000000000000000000000000000000
3;371416.00000000000000000000000000000000000000000000000000
4;625716.00000000000000000000000000000000000000000000000000
5;731548.00000000000000000000000000000000000000000000000000
6;777392.00000000000000000000000000000000000000000000000000
7;804300.00000000000000000000000000000000000000000000000000
8;823516.00000000000000000000000000000000000000000000000000
9;824024.00000000000000000000000000000000000000000000000000
10;824744.00000000000000000000000000000000000000000000000000
11;826164.00000000000000000000000000000000000000000000000000
12;827228.00000000000000000000000000000000000000000000000000
13;829160.00000000000000000000000000000000000000000000000000
14;870956.00000000000000000000000000000000000000000000000000
15;910748.00000000000000000000000000000000000000000000000000
16;917252.00000000000000000000000000000000000000000000000000
17;930736.00000000000000000000000000000000000000000000000000
18;934336.00000000000000000000000000000000000000000000000000
19;971496.00000000000000000000000000000000000000000000000000
20;978128.00000000000000000000000000000000000000000000000000
21;986244.00000000000000000000000000000000000000000000000000
22;989888.00000000000000000000000000000000000000000000000000
23;992716.00000000000000000000000000000000000000000000000000
24;996044.00000000000000000000000000000000000000000000000000
25;1000740.00000000000000000000000000000000000000000000000000
26;1238312.00000000000000000000000000000000000000000000000000
27;1238352.00000000000000000000000000000000000000000000000000
28;1238624.00000000000000000000000000000000000000000000000000
29;1238368.00000000000000000000000000000000000000000000000000
30;1238336.00000000000000000000000000000000000000000000000000
31;1238456.00000000000000000000000000000000000000000000000000
32;1229108.00000000000000000000000000000000000000000000000000
33;1229460.00000000000000000000000000000000000000000000000000
34;1230356.00000000000000000000000000000000000000000000000000
35;1232412.00000000000000000000000000000000000000000000000000
36;1233224.00000000000000000000000000000000000000000000000000
37;1234588.00000000000000000000000000000000000000000000000000
38;1236116.00000000000000000000000000000000000000000000000000
39;1238184.00000000000000000000000000000000000000000000000000
40;1240324.00000000000000000000000000000000000000000000000000
41;1241420.00000000000000000000000000000000000000000000000000
42;1241420.00000000000000000000000000000000000000000000000000
43;1241368.00000000000000000000000000000000000000000000000000
44;1241432.00000000000000000000000000000000000000000000000000
45;1241528.00000000000000000000000000000000000000000000000000
46;1241368.00000000000000000000000000000000000000000000000000
47;1232272.00000000000000000000000000000000000000000000000000
48;1232972.00000000000000000000000000000000000000000000000000
49;1234192.00000000000000000000000000000000000000000000000000
50;1235036.00000000000000000000000000000000000000000000000000
51;1236592.00000000000000000000000000000000000000000000000000
52;1237348.00000000000000000000000000000000000000000000000000
53;1238296.00000000000000000000000000000000000000000000000000
54;1239416.00000000000000000000000000000000000000000000000000
55;1241224.00000000000000000000000000000000000000000000000000
56;1242584.00000000000000000000000000000000000000000000000000
57;1242392.00000000000000000000000000000000000000000000000000
58;1242332.00000000000000000000000000000000000000000000000000
59;1242412.00000000000000000000000000000000000000000000000000
60;1242520.00000000000000000000000000000000000000000000000000
61;1242296.00000000000000000000000000000000000000000000000000
62;1233416.00000000000000000000000000000000000000000000000000
63;1234044.00000000000000000000000000000000000000000000000000
64;1235188.00000000000000000000000000000000000000000000000000
65;1237096.00000000000000000000000000000000000000000000000000
66;1237968.00000000000000000000000000000000000000000000000000
67;1239056.00000000000000000000000000000000000000000000000000
68;1241292.00000000000000000000000000000000000000000000000000
69;1242288.00000000000000000000000000000000000000000000000000
70;1242656.00000000000000000000000000000000000000000000000000
71;1242772.00000000000000000000000000000000000000000000000000
72;1242700.00000000000000000000000000000000000000000000000000
73;1242584.00000000000000000000000000000000000000000000000000
74;1242612.00000000000000000000000000000000000000000000000000
75;1242692.00000000000000000000000000000000000000000000000000
76;1233264.00000000000000000000000000000000000000000000000000
77;1234212.00000000000000000000000000000000000000000000000000
78;1235764.00000000000000000000000000000000000000000000000000
79;1237248.00000000000000000000000000000000000000000000000000
80;1238108.00000000000000000000000000000000000000000000000000
81;1239180.00000000000000000000000000000000000000000000000000
82;1240040.00000000000000000000000000000000000000000000000000
83;1241576.00000000000000000000000000000000000000000000000000
84;1241780.00000000000000000000000000000000000000000000000000
85;1242040.00000000000000000000000000000000000000000000000000
86;1241784.00000000000000000000000000000000000000000000000000
87;1242040.00000000000000000000000000000000000000000000000000
88;1241852.00000000000000000000000000000000000000000000000000
89;1241784.00000000000000000000000000000000000000000000000000
90;1234396.00000000000000000000000000000000000000000000000000
91;1236028.00000000000000000000000000000000000000000000000000
92;1236756.00000000000000000000000000000000000000000000000000
93;1238436.00000000000000000000000000000000000000000000000000
94;1239784.00000000000000000000000000000000000000000000000000
95;1241356.00000000000000000000000000000000000000000000000000
96;1242168.00000000000000000000000000000000000000000000000000
97;1243724.00000000000000000000000000000000000000000000000000
98;1243648.00000000000000000000000000000000000000000000000000
99;1243928.00000000000000000000000000000000000000000000000000
100;1243668.00000000000000000000000000000000000000000000000000
101;1243672.00000000000000000000000000000000000000000000000000
102;1243720.00000000000000000000000000000000000000000000000000
103;1243724.00000000000000000000000000000000000000000000000000
104;1235556.00000000000000000000000000000000000000000000000000
105;1236308.00000000000000000000000000000000000000000000000000
106;1236732.00000000000000000000000000000000000000000000000000
107;1238204.00000000000000000000000000000000000000000000000000
108;1240036.00000000000000000000000000000000000000000000000000
109;1241400.00000000000000000000000000000000000000000000000000
110;1242664.00000000000000000000000000000000000000000000000000
111;1243492.00000000000000000000000000000000000000000000000000
112;1243680.00000000000000000000000000000000000000000000000000
113;1243456.00000000000000000000000000000000000000000000000000
114;1243552.00000000000000000000000000000000000000000000000000
115;1243424.00000000000000000000000000000000000000000000000000
116;1243456.00000000000000000000000000000000000000000000000000
117;1234384.00000000000000000000000000000000000000000000000000
118;1235192.00000000000000000000000000000000000000000000000000
119;1237452.00000000000000000000000000000000000000000000000000
120;1238128.00000000000000000000000000000000000000000000000000
121;1239116.00000000000000000000000000000000000000000000000000
122;1240916.00000000000000000000000000000000000000000000000000
123;1241840.00000000000000000000000000000000000000000000000000
124;1243644.00000000000000000000000000000000000000000000000000
125;1244220.00000000000000000000000000000000000000000000000000
126;1244380.00000000000000000000000000000000000000000000000000
127;1244228.00000000000000000000000000000000000000000000000000
128;1244452.00000000000000000000000000000000000000000000000000
129;1244264.00000000000000000000000000000000000000000000000000
130;1244296.00000000000000000000000000000000000000000000000000
131;1235848.00000000000000000000000000000000000000000000000000
132;1236284.00000000000000000000000000000000000000000000000000
133;1237220.00000000000000000000000000000000000000000000000000
134;1238264.00000000000000000000000000000000000000000000000000
135;1240088.00000000000000000000000000000000000000000000000000
136;1241016.00000000000000000000000000000000000000000000000000
137;1242508.00000000000000000000000000000000000000000000000000
138;1243696.00000000000000000000000000000000000000000000000000
139;1243504.00000000000000000000000000000000000000000000000000
140;1243472.00000000000000000000000000000000000000000000000000
141;1243504.00000000000000000000000000000000000000000000000000
142;1243508.00000000000000000000000000000000000000000000000000
143;1243696.00000000000000000000000000000000000000000000000000
144;1233600.00000000000000000000000000000000000000000000000000
145;1234824.00000000000000000000000000000000000000000000000000
146;1236344.00000000000000000000000000000000000000000000000000
147;1237640.00000000000000000000000000000000000000000000000000
148;1239668.00000000000000000000000000000000000000000000000000
149;1240888.00000000000000000000000000000000000000000000000000
150;1241328.00000000000000000000000000000000000000000000000000
151;1243364.00000000000000000000000000000000000000000000000000
152;1244128.00000000000000000000000000000000000000000000000000
153;1244096.00000000000000000000000000000000000000000000000000
154;1244352.00000000000000000000000000000000000000000000000000
155;1244096.00000000000000000000000000000000000000000000000000
156;1244164.00000000000000000000000000000000000000000000000000
157;1244160.00000000000000000000000000000000000000000000000000
158;1235688.00000000000000000000000000000000000000000000000000
159;1236236.00000000000000000000000000000000000000000000000000
160;1237404.00000000000000000000000000000000000000000000000000
161;1238620.00000000000000000000000000000000000000000000000000
162;1239832.00000000000000000000000000000000000000000000000000
163;1241504.00000000000000000000000000000000000000000000000000
164;1242480.00000000000000000000000000000000000000000000000000
165;1243836.00000000000000000000000000000000000000000000000000
166;1244548.00000000000000000000000000000000000000000000000000
167;1244324.00000000000000000000000000000000000000000000000000
168;1244492.00000000000000000000000000000000000000000000000000
169;1244620.00000000000000000000000000000000000000000000000000
170;1244396.00000000000000000000000000000000000000000000000000
171;1244620.00000000000000000000000000000000000000000000000000
172;1235520.00000000000000000000000000000000000000000000000000
173;1236540.00000000000000000000000000000000000000000000000000
174;1237936.00000000000000000000000000000000000000000000000000
175;1238964.00000000000000000000000000000000000000000000000000
176;1239452.00000000000000000000000000000000000000000000000000
177;1240816.00000000000000000000000000000000000000000000000000
178;1242324.00000000000000000000000000000000000000000000000000
179;1243372.00000000000000000000000000000000000000000000000000
180;1243408.00000000000000000000000000000000000000000000000000
181;1243408.00000000000000000000000000000000000000000000000000
182;1243376.00000000000000000000000000000000000000000000000000
183;1243600.00000000000000000000000000000000000000000000000000
184;1243376.00000000000000000000000000000000000000000000000000
185;1235056.00000000000000000000000000000000000000000000000000
186;1234788.00000000000000000000000000000000000000000000000000
187;1236176.00000000000000000000000000000000000000000000000000
188;1237032.00000000000000000000000000000000000000000000000000
189;1238328.00000000000000000000000000000000000000000000000000
190;1240432.00000000000000000000000000000000000000000000000000
191;1242536.00000000000000000000000000000000000000000000000000
192;1243912.00000000000000000000000000000000000000000000000000
193;1243996.00000000000000000000000000000000000000000000000000
194;1244268.00000000000000000000000000000000000000000000000000
195;1244044.00000000000000000000000000000000000000000000000000
196;1244012.00000000000000000000000000000000000000000000000000
197;1244040.00000000000000000000000000000000000000000000000000
198;1244040.00000000000000000000000000000000000000000000000000
199;1234588.00000000000000000000000000000000000000000000000000
200;1234588.00000000000000000000000000000000000000000000000000
201;1235956.00000000000000000000000000000000000000000000000000
202;1236944.00000000000000000000000000000000000000000000000000
203;1238168.00000000000000000000000000000000000000000000000000
