Second;RAM_KB
0;12684.00000000000000000000000000000000000000000000000000
1;321264.00000000000000000000000000000000000000000000000000
2;374936.00000000000000000000000000000000000000000000000000
3;683636.00000000000000000000000000000000000000000000000000
4;745332.00000000000000000000000000000000000000000000000000
5;804332.00000000000000000000000000000000000000000000000000
6;889176.00000000000000000000000000000000000000000000000000
7;930752.00000000000000000000000000000000000000000000000000
8;936056.00000000000000000000000000000000000000000000000000
9;978500.00000000000000000000000000000000000000000000000000
10;983164.00000000000000000000000000000000000000000000000000
11;988404.00000000000000000000000000000000000000000000000000
12;992100.00000000000000000000000000000000000000000000000000
13;997516.00000000000000000000000000000000000000000000000000
14;1000432.00000000000000000000000000000000000000000000000000
15;1003864.00000000000000000000000000000000000000000000000000
16;1008256.00000000000000000000000000000000000000000000000000
17;1013172.00000000000000000000000000000000000000000000000000
18;1018784.00000000000000000000000000000000000000000000000000
19;1258900.00000000000000000000000000000000000000000000000000
20;1258972.00000000000000000000000000000000000000000000000000
21;1258912.00000000000000000000000000000000000000000000000000
22;1259104.00000000000000000000000000000000000000000000000000
23;1258912.00000000000000000000000000000000000000000000000000
24;1259108.00000000000000000000000000000000000000000000000000
25;1259108.00000000000000000000000000000000000000000000000000
26;1259108.00000000000000000000000000000000000000000000000000
27;1258920.00000000000000000000000000000000000000000000000000
28;1234336.00000000000000000000000000000000000000000000000000
29;1234836.00000000000000000000000000000000000000000000000000
30;1236548.00000000000000000000000000000000000000000000000000
31;1238580.00000000000000000000000000000000000000000000000000
32;1241048.00000000000000000000000000000000000000000000000000
33;1243464.00000000000000000000000000000000000000000000000000
34;1246208.00000000000000000000000000000000000000000000000000
35;1247988.00000000000000000000000000000000000000000000000000
36;1250632.00000000000000000000000000000000000000000000000000
37;1255008.00000000000000000000000000000000000000000000000000
38;1256912.00000000000000000000000000000000000000000000000000
39;1260308.00000000000000000000000000000000000000000000000000
40;1261232.00000000000000000000000000000000000000000000000000
41;1261204.00000000000000000000000000000000000000000000000000
42;1261200.00000000000000000000000000000000000000000000000000
43;1261340.00000000000000000000000000000000000000000000000000
44;1261564.00000000000000000000000000000000000000000000000000
45;1261428.00000000000000000000000000000000000000000000000000
46;1261308.00000000000000000000000000000000000000000000000000
47;1261340.00000000000000000000000000000000000000000000000000
48;1261376.00000000000000000000000000000000000000000000000000
49;1244580.00000000000000000000000000000000000000000000000000
50;1246288.00000000000000000000000000000000000000000000000000
51;1247804.00000000000000000000000000000000000000000000000000
52;1249200.00000000000000000000000000000000000000000000000000
53;1251044.00000000000000000000000000000000000000000000000000
54;1252784.00000000000000000000000000000000000000000000000000
55;1254268.00000000000000000000000000000000000000000000000000
56;1255768.00000000000000000000000000000000000000000000000000
57;1258444.00000000000000000000000000000000000000000000000000
58;1260524.00000000000000000000000000000000000000000000000000
59;1263444.00000000000000000000000000000000000000000000000000
60;1264216.00000000000000000000000000000000000000000000000000
61;1264024.00000000000000000000000000000000000000000000000000
62;1264028.00000000000000000000000000000000000000000000000000
63;1264012.00000000000000000000000000000000000000000000000000
64;1264076.00000000000000000000000000000000000000000000000000
65;1264092.00000000000000000000000000000000000000000000000000
66;1264044.00000000000000000000000000000000000000000000000000
67;1264044.00000000000000000000000000000000000000000000000000
68;1264044.00000000000000000000000000000000000000000000000000
69;1245672.00000000000000000000000000000000000000000000000000
70;1247252.00000000000000000000000000000000000000000000000000
71;1249140.00000000000000000000000000000000000000000000000000
72;1250436.00000000000000000000000000000000000000000000000000
73;1250772.00000000000000000000000000000000000000000000000000
74;1251932.00000000000000000000000000000000000000000000000000
75;1253232.00000000000000000000000000000000000000000000000000
76;1255060.00000000000000000000000000000000000000000000000000
77;1256696.00000000000000000000000000000000000000000000000000
78;1258444.00000000000000000000000000000000000000000000000000
79;1259328.00000000000000000000000000000000000000000000000000
80;1262300.00000000000000000000000000000000000000000000000000
81;1262252.00000000000000000000000000000000000000000000000000
82;1262472.00000000000000000000000000000000000000000000000000
83;1262212.00000000000000000000000000000000000000000000000000
84;1262440.00000000000000000000000000000000000000000000000000
85;1262212.00000000000000000000000000000000000000000000000000
86;1262472.00000000000000000000000000000000000000000000000000
87;1262340.00000000000000000000000000000000000000000000000000
88;1262340.00000000000000000000000000000000000000000000000000
89;1243960.00000000000000000000000000000000000000000000000000
90;1244940.00000000000000000000000000000000000000000000000000
91;1246412.00000000000000000000000000000000000000000000000000
92;1247852.00000000000000000000000000000000000000000000000000
93;1249620.00000000000000000000000000000000000000000000000000
94;1251088.00000000000000000000000000000000000000000000000000
95;1253120.00000000000000000000000000000000000000000000000000
96;1254244.00000000000000000000000000000000000000000000000000
97;1256584.00000000000000000000000000000000000000000000000000
98;1257956.00000000000000000000000000000000000000000000000000
99;1259092.00000000000000000000000000000000000000000000000000
100;1262008.00000000000000000000000000000000000000000000000000
101;1263780.00000000000000000000000000000000000000000000000000
102;1264556.00000000000000000000000000000000000000000000000000
103;1264480.00000000000000000000000000000000000000000000000000
104;1264736.00000000000000000000000000000000000000000000000000
105;1264544.00000000000000000000000000000000000000000000000000
106;1264476.00000000000000000000000000000000000000000000000000
107;1264548.00000000000000000000000000000000000000000000000000
108;1264604.00000000000000000000000000000000000000000000000000
109;1264544.00000000000000000000000000000000000000000000000000
110;1264480.00000000000000000000000000000000000000000000000000
111;1246980.00000000000000000000000000000000000000000000000000
112;1248232.00000000000000000000000000000000000000000000000000
113;1249208.00000000000000000000000000000000000000000000000000
114;1251428.00000000000000000000000000000000000000000000000000
115;1252796.00000000000000000000000000000000000000000000000000
116;1254936.00000000000000000000000000000000000000000000000000
117;1256372.00000000000000000000000000000000000000000000000000
118;1258104.00000000000000000000000000000000000000000000000000
119;1259668.00000000000000000000000000000000000000000000000000
120;1260476.00000000000000000000000000000000000000000000000000
121;1262200.00000000000000000000000000000000000000000000000000
122;1262892.00000000000000000000000000000000000000000000000000
