Second;RAM_KB
0;6212.00000000000000000000000000000000000000000000000000
1;321704.00000000000000000000000000000000000000000000000000
2;375572.00000000000000000000000000000000000000000000000000
3;696732.00000000000000000000000000000000000000000000000000
4;748432.00000000000000000000000000000000000000000000000000
5;804300.00000000000000000000000000000000000000000000000000
6;900540.00000000000000000000000000000000000000000000000000
7;934392.00000000000000000000000000000000000000000000000000
8;970156.00000000000000000000000000000000000000000000000000
9;980228.00000000000000000000000000000000000000000000000000
10;987104.00000000000000000000000000000000000000000000000000
11;992340.00000000000000000000000000000000000000000000000000
12;999192.00000000000000000000000000000000000000000000000000
13;1003272.00000000000000000000000000000000000000000000000000
14;1010580.00000000000000000000000000000000000000000000000000
15;1015252.00000000000000000000000000000000000000000000000000
16;1021896.00000000000000000000000000000000000000000000000000
17;1024912.00000000000000000000000000000000000000000000000000
18;1031932.00000000000000000000000000000000000000000000000000
19;1035876.00000000000000000000000000000000000000000000000000
20;1042632.00000000000000000000000000000000000000000000000000
21;1046664.00000000000000000000000000000000000000000000000000
22;1053036.00000000000000000000000000000000000000000000000000
23;1057568.00000000000000000000000000000000000000000000000000
24;1064048.00000000000000000000000000000000000000000000000000
25;1068760.00000000000000000000000000000000000000000000000000
26;1075144.00000000000000000000000000000000000000000000000000
27;1079088.00000000000000000000000000000000000000000000000000
28;1084816.00000000000000000000000000000000000000000000000000
29;1089536.00000000000000000000000000000000000000000000000000
30;1095388.00000000000000000000000000000000000000000000000000
31;1102952.00000000000000000000000000000000000000000000000000
32;1105692.00000000000000000000000000000000000000000000000000
33;1111224.00000000000000000000000000000000000000000000000000
34;1117408.00000000000000000000000000000000000000000000000000
35;1121536.00000000000000000000000000000000000000000000000000
36;1125056.00000000000000000000000000000000000000000000000000
37;1132416.00000000000000000000000000000000000000000000000000
38;1135960.00000000000000000000000000000000000000000000000000
39;1141876.00000000000000000000000000000000000000000000000000
40;1146716.00000000000000000000000000000000000000000000000000
41;1154580.00000000000000000000000000000000000000000000000000
42;1158120.00000000000000000000000000000000000000000000000000
43;1162772.00000000000000000000000000000000000000000000000000
44;1166640.00000000000000000000000000000000000000000000000000
45;1170800.00000000000000000000000000000000000000000000000000
46;1178432.00000000000000000000000000000000000000000000000000
47;1179724.00000000000000000000000000000000000000000000000000
48;1183200.00000000000000000000000000000000000000000000000000
49;1429100.00000000000000000000000000000000000000000000000000
50;1429164.00000000000000000000000000000000000000000000000000
51;1429424.00000000000000000000000000000000000000000000000000
52;1429204.00000000000000000000000000000000000000000000000000
53;1429428.00000000000000000000000000000000000000000000000000
54;1429200.00000000000000000000000000000000000000000000000000
55;1429172.00000000000000000000000000000000000000000000000000
56;1429260.00000000000000000000000000000000000000000000000000
57;1429200.00000000000000000000000000000000000000000000000000
58;1429172.00000000000000000000000000000000000000000000000000
59;1429132.00000000000000000000000000000000000000000000000000
60;1429200.00000000000000000000000000000000000000000000000000
61;1429456.00000000000000000000000000000000000000000000000000
62;1429456.00000000000000000000000000000000000000000000000000
63;1429616.00000000000000000000000000000000000000000000000000
64;1429404.00000000000000000000000000000000000000000000000000
65;1429276.00000000000000000000000000000000000000000000000000
66;1429592.00000000000000000000000000000000000000000000000000
67;1429368.00000000000000000000000000000000000000000000000000
68;1429340.00000000000000000000000000000000000000000000000000
69;1429428.00000000000000000000000000000000000000000000000000
70;1429592.00000000000000000000000000000000000000000000000000
71;1429432.00000000000000000000000000000000000000000000000000
72;1429304.00000000000000000000000000000000000000000000000000
73;1429592.00000000000000000000000000000000000000000000000000
74;1429368.00000000000000000000000000000000000000000000000000
75;1429432.00000000000000000000000000000000000000000000000000
76;1429428.00000000000000000000000000000000000000000000000000
77;1429432.00000000000000000000000000000000000000000000000000
78;1429592.00000000000000000000000000000000000000000000000000
79;1429300.00000000000000000000000000000000000000000000000000
80;1429432.00000000000000000000000000000000000000000000000000
81;1429592.00000000000000000000000000000000000000000000000000
82;1429300.00000000000000000000000000000000000000000000000000
83;1429432.00000000000000000000000000000000000000000000000000
84;1429592.00000000000000000000000000000000000000000000000000
85;1429428.00000000000000000000000000000000000000000000000000
86;1429432.00000000000000000000000000000000000000000000000000
87;1429592.00000000000000000000000000000000000000000000000000
88;1407736.00000000000000000000000000000000000000000000000000
89;1320724.00000000000000000000000000000000000000000000000000
90;1322024.00000000000000000000000000000000000000000000000000
91;1325708.00000000000000000000000000000000000000000000000000
92;1327648.00000000000000000000000000000000000000000000000000
93;1329860.00000000000000000000000000000000000000000000000000
94;1332156.00000000000000000000000000000000000000000000000000
95;1334364.00000000000000000000000000000000000000000000000000
96;1336764.00000000000000000000000000000000000000000000000000
97;1339236.00000000000000000000000000000000000000000000000000
98;1342412.00000000000000000000000000000000000000000000000000
99;1344660.00000000000000000000000000000000000000000000000000
100;1347212.00000000000000000000000000000000000000000000000000
101;1349512.00000000000000000000000000000000000000000000000000
102;1353608.00000000000000000000000000000000000000000000000000
103;1355888.00000000000000000000000000000000000000000000000000
104;1359596.00000000000000000000000000000000000000000000000000
105;1361964.00000000000000000000000000000000000000000000000000
106;1363764.00000000000000000000000000000000000000000000000000
107;1367628.00000000000000000000000000000000000000000000000000
108;1368872.00000000000000000000000000000000000000000000000000
109;1372632.00000000000000000000000000000000000000000000000000
110;1374596.00000000000000000000000000000000000000000000000000
111;1376936.00000000000000000000000000000000000000000000000000
112;1381648.00000000000000000000000000000000000000000000000000
113;1383996.00000000000000000000000000000000000000000000000000
114;1385480.00000000000000000000000000000000000000000000000000
115;1391064.00000000000000000000000000000000000000000000000000
116;1393100.00000000000000000000000000000000000000000000000000
117;1394924.00000000000000000000000000000000000000000000000000
118;1396776.00000000000000000000000000000000000000000000000000
119;1403184.00000000000000000000000000000000000000000000000000
120;1404892.00000000000000000000000000000000000000000000000000
121;1407084.00000000000000000000000000000000000000000000000000
122;1408764.00000000000000000000000000000000000000000000000000
123;1413196.00000000000000000000000000000000000000000000000000
124;1415616.00000000000000000000000000000000000000000000000000
125;1417632.00000000000000000000000000000000000000000000000000
126;1419312.00000000000000000000000000000000000000000000000000
127;1425868.00000000000000000000000000000000000000000000000000
128;1428520.00000000000000000000000000000000000000000000000000
129;1433116.00000000000000000000000000000000000000000000000000
130;1433116.00000000000000000000000000000000000000000000000000
131;1434504.00000000000000000000000000000000000000000000000000
132;1434504.00000000000000000000000000000000000000000000000000
133;1434476.00000000000000000000000000000000000000000000000000
134;1434476.00000000000000000000000000000000000000000000000000
135;1434540.00000000000000000000000000000000000000000000000000
136;1434512.00000000000000000000000000000000000000000000000000
137;1434512.00000000000000000000000000000000000000000000000000
138;1434448.00000000000000000000000000000000000000000000000000
139;1434448.00000000000000000000000000000000000000000000000000
140;1434384.00000000000000000000000000000000000000000000000000
141;1434448.00000000000000000000000000000000000000000000000000
142;1434448.00000000000000000000000000000000000000000000000000
143;1434448.00000000000000000000000000000000000000000000000000
144;1434444.00000000000000000000000000000000000000000000000000
145;1434384.00000000000000000000000000000000000000000000000000
146;1434448.00000000000000000000000000000000000000000000000000
147;1434448.00000000000000000000000000000000000000000000000000
148;1434448.00000000000000000000000000000000000000000000000000
149;1434512.00000000000000000000000000000000000000000000000000
150;1434512.00000000000000000000000000000000000000000000000000
151;1434388.00000000000000000000000000000000000000000000000000
152;1434448.00000000000000000000000000000000000000000000000000
153;1434512.00000000000000000000000000000000000000000000000000
154;1434512.00000000000000000000000000000000000000000000000000
155;1434448.00000000000000000000000000000000000000000000000000
156;1434448.00000000000000000000000000000000000000000000000000
157;1434512.00000000000000000000000000000000000000000000000000
158;1434512.00000000000000000000000000000000000000000000000000
159;1434512.00000000000000000000000000000000000000000000000000
160;1434448.00000000000000000000000000000000000000000000000000
161;1434512.00000000000000000000000000000000000000000000000000
162;1434512.00000000000000000000000000000000000000000000000000
163;1434444.00000000000000000000000000000000000000000000000000
164;1434448.00000000000000000000000000000000000000000000000000
165;1434448.00000000000000000000000000000000000000000000000000
166;1434448.00000000000000000000000000000000000000000000000000
167;1434448.00000000000000000000000000000000000000000000000000
168;1330016.00000000000000000000000000000000000000000000000000
169;1331068.00000000000000000000000000000000000000000000000000
170;1334000.00000000000000000000000000000000000000000000000000
171;1336796.00000000000000000000000000000000000000000000000000
172;1338572.00000000000000000000000000000000000000000000000000
173;1340620.00000000000000000000000000000000000000000000000000
174;1342420.00000000000000000000000000000000000000000000000000
175;1345112.00000000000000000000000000000000000000000000000000
176;1347400.00000000000000000000000000000000000000000000000000
177;1350616.00000000000000000000000000000000000000000000000000
178;1352720.00000000000000000000000000000000000000000000000000
179;1355736.00000000000000000000000000000000000000000000000000
180;1357576.00000000000000000000000000000000000000000000000000
181;1360812.00000000000000000000000000000000000000000000000000
182;1363028.00000000000000000000000000000000000000000000000000
183;1366592.00000000000000000000000000000000000000000000000000
184;1370408.00000000000000000000000000000000000000000000000000
185;1372096.00000000000000000000000000000000000000000000000000
186;1375828.00000000000000000000000000000000000000000000000000
187;1377976.00000000000000000000000000000000000000000000000000
188;1380244.00000000000000000000000000000000000000000000000000
