Second;RAM_KB
0;6272.00000000000000000000000000000000000000000000000000
1;265656.00000000000000000000000000000000000000000000000000
2;346492.00000000000000000000000000000000000000000000000000
3;489004.00000000000000000000000000000000000000000000000000
4;1498400.00000000000000000000000000000000000000000000000000
5;1738072.00000000000000000000000000000000000000000000000000
6;1975372.00000000000000000000000000000000000000000000000000
7;2289176.00000000000000000000000000000000000000000000000000
8;2369544.00000000000000000000000000000000000000000000000000
9;2441116.00000000000000000000000000000000000000000000000000
10;2449068.00000000000000000000000000000000000000000000000000
11;2457844.00000000000000000000000000000000000000000000000000
12;2466136.00000000000000000000000000000000000000000000000000
13;2475320.00000000000000000000000000000000000000000000000000
14;2519080.00000000000000000000000000000000000000000000000000
15;2524936.00000000000000000000000000000000000000000000000000
16;2531460.00000000000000000000000000000000000000000000000000
17;2535928.00000000000000000000000000000000000000000000000000
18;2540212.00000000000000000000000000000000000000000000000000
19;2545424.00000000000000000000000000000000000000000000000000
20;2551148.00000000000000000000000000000000000000000000000000
21;2556892.00000000000000000000000000000000000000000000000000
22;2561936.00000000000000000000000000000000000000000000000000
23;2569180.00000000000000000000000000000000000000000000000000
24;2574172.00000000000000000000000000000000000000000000000000
25;2580256.00000000000000000000000000000000000000000000000000
26;2583900.00000000000000000000000000000000000000000000000000
27;2589136.00000000000000000000000000000000000000000000000000
28;2593272.00000000000000000000000000000000000000000000000000
29;2598864.00000000000000000000000000000000000000000000000000
30;2605356.00000000000000000000000000000000000000000000000000
31;2608968.00000000000000000000000000000000000000000000000000
32;2614052.00000000000000000000000000000000000000000000000000
33;2621704.00000000000000000000000000000000000000000000000000
34;2627864.00000000000000000000000000000000000000000000000000
35;2631900.00000000000000000000000000000000000000000000000000
36;2637796.00000000000000000000000000000000000000000000000000
37;2642768.00000000000000000000000000000000000000000000000000
38;2648696.00000000000000000000000000000000000000000000000000
39;2653460.00000000000000000000000000000000000000000000000000
40;2657624.00000000000000000000000000000000000000000000000000
41;2661916.00000000000000000000000000000000000000000000000000
42;2670408.00000000000000000000000000000000000000000000000000
43;2673176.00000000000000000000000000000000000000000000000000
44;2680352.00000000000000000000000000000000000000000000000000
45;2686076.00000000000000000000000000000000000000000000000000
46;2689516.00000000000000000000000000000000000000000000000000
47;2693852.00000000000000000000000000000000000000000000000000
48;2699644.00000000000000000000000000000000000000000000000000
49;2703844.00000000000000000000000000000000000000000000000000
50;2708404.00000000000000000000000000000000000000000000000000
51;2714876.00000000000000000000000000000000000000000000000000
52;2719760.00000000000000000000000000000000000000000000000000
53;2724276.00000000000000000000000000000000000000000000000000
54;2724304.00000000000000000000000000000000000000000000000000
55;2847128.00000000000000000000000000000000000000000000000000
56;2959768.00000000000000000000000000000000000000000000000000
57;2959804.00000000000000000000000000000000000000000000000000
58;2959712.00000000000000000000000000000000000000000000000000
59;2959708.00000000000000000000000000000000000000000000000000
60;2959936.00000000000000000000000000000000000000000000000000
61;2959484.00000000000000000000000000000000000000000000000000
62;2959488.00000000000000000000000000000000000000000000000000
63;2959516.00000000000000000000000000000000000000000000000000
64;2959304.00000000000000000000000000000000000000000000000000
65;2959360.00000000000000000000000000000000000000000000000000
66;2959300.00000000000000000000000000000000000000000000000000
67;2959484.00000000000000000000000000000000000000000000000000
68;2959580.00000000000000000000000000000000000000000000000000
69;2959392.00000000000000000000000000000000000000000000000000
70;2959356.00000000000000000000000000000000000000000000000000
71;2959388.00000000000000000000000000000000000000000000000000
72;2959352.00000000000000000000000000000000000000000000000000
73;2959388.00000000000000000000000000000000000000000000000000
74;2959896.00000000000000000000000000000000000000000000000000
75;2959896.00000000000000000000000000000000000000000000000000
76;2959896.00000000000000000000000000000000000000000000000000
77;2959768.00000000000000000000000000000000000000000000000000
78;2959640.00000000000000000000000000000000000000000000000000
79;2959764.00000000000000000000000000000000000000000000000000
80;2959896.00000000000000000000000000000000000000000000000000
81;2959864.00000000000000000000000000000000000000000000000000
82;2959896.00000000000000000000000000000000000000000000000000
83;2959640.00000000000000000000000000000000000000000000000000
84;2959760.00000000000000000000000000000000000000000000000000
85;2959708.00000000000000000000000000000000000000000000000000
86;2959672.00000000000000000000000000000000000000000000000000
87;2959864.00000000000000000000000000000000000000000000000000
88;2959640.00000000000000000000000000000000000000000000000000
89;2959640.00000000000000000000000000000000000000000000000000
90;2959772.00000000000000000000000000000000000000000000000000
91;2959712.00000000000000000000000000000000000000000000000000
92;2959788.00000000000000000000000000000000000000000000000000
93;2959772.00000000000000000000000000000000000000000000000000
94;2959900.00000000000000000000000000000000000000000000000000
95;2959900.00000000000000000000000000000000000000000000000000
96;2959676.00000000000000000000000000000000000000000000000000
97;2959708.00000000000000000000000000000000000000000000000000
98;2959676.00000000000000000000000000000000000000000000000000
99;2959644.00000000000000000000000000000000000000000000000000
100;2959644.00000000000000000000000000000000000000000000000000
101;2959676.00000000000000000000000000000000000000000000000000
102;2959768.00000000000000000000000000000000000000000000000000
103;2959900.00000000000000000000000000000000000000000000000000
104;2959644.00000000000000000000000000000000000000000000000000
105;2959676.00000000000000000000000000000000000000000000000000
106;2959644.00000000000000000000000000000000000000000000000000
107;2959712.00000000000000000000000000000000000000000000000000
108;2959644.00000000000000000000000000000000000000000000000000
109;2959676.00000000000000000000000000000000000000000000000000
110;2959712.00000000000000000000000000000000000000000000000000
111;2959644.00000000000000000000000000000000000000000000000000
112;2959796.00000000000000000000000000000000000000000000000000
113;2959640.00000000000000000000000000000000000000000000000000
114;2873808.00000000000000000000000000000000000000000000000000
115;2874516.00000000000000000000000000000000000000000000000000
116;2875368.00000000000000000000000000000000000000000000000000
117;2876920.00000000000000000000000000000000000000000000000000
118;2878088.00000000000000000000000000000000000000000000000000
119;2879540.00000000000000000000000000000000000000000000000000
120;2881824.00000000000000000000000000000000000000000000000000
121;2882764.00000000000000000000000000000000000000000000000000
122;2886124.00000000000000000000000000000000000000000000000000
123;2888648.00000000000000000000000000000000000000000000000000
124;2890720.00000000000000000000000000000000000000000000000000
125;2892196.00000000000000000000000000000000000000000000000000
126;2894464.00000000000000000000000000000000000000000000000000
127;2896508.00000000000000000000000000000000000000000000000000
128;2899532.00000000000000000000000000000000000000000000000000
129;2903480.00000000000000000000000000000000000000000000000000
130;2905596.00000000000000000000000000000000000000000000000000
131;2908200.00000000000000000000000000000000000000000000000000
132;2910964.00000000000000000000000000000000000000000000000000
133;2913320.00000000000000000000000000000000000000000000000000
134;2915512.00000000000000000000000000000000000000000000000000
135;2916864.00000000000000000000000000000000000000000000000000
136;2917136.00000000000000000000000000000000000000000000000000
137;2918860.00000000000000000000000000000000000000000000000000
138;2921680.00000000000000000000000000000000000000000000000000
139;2924432.00000000000000000000000000000000000000000000000000
140;2926948.00000000000000000000000000000000000000000000000000
141;2929324.00000000000000000000000000000000000000000000000000
142;2932200.00000000000000000000000000000000000000000000000000
143;2940576.00000000000000000000000000000000000000000000000000
144;2941172.00000000000000000000000000000000000000000000000000
145;2941868.00000000000000000000000000000000000000000000000000
146;2942664.00000000000000000000000000000000000000000000000000
147;2947204.00000000000000000000000000000000000000000000000000
148;2950140.00000000000000000000000000000000000000000000000000
149;2952836.00000000000000000000000000000000000000000000000000
150;2955712.00000000000000000000000000000000000000000000000000
151;2960724.00000000000000000000000000000000000000000000000000
152;2962216.00000000000000000000000000000000000000000000000000
153;2964720.00000000000000000000000000000000000000000000000000
154;2966040.00000000000000000000000000000000000000000000000000
155;2966208.00000000000000000000000000000000000000000000000000
156;2966568.00000000000000000000000000000000000000000000000000
157;2966312.00000000000000000000000000000000000000000000000000
158;2966312.00000000000000000000000000000000000000000000000000
159;2966376.00000000000000000000000000000000000000000000000000
160;2966312.00000000000000000000000000000000000000000000000000
161;2966312.00000000000000000000000000000000000000000000000000
162;2966312.00000000000000000000000000000000000000000000000000
163;2966376.00000000000000000000000000000000000000000000000000
164;2966376.00000000000000000000000000000000000000000000000000
165;2966568.00000000000000000000000000000000000000000000000000
166;2966376.00000000000000000000000000000000000000000000000000
167;2966440.00000000000000000000000000000000000000000000000000
168;2966440.00000000000000000000000000000000000000000000000000
169;2966376.00000000000000000000000000000000000000000000000000
170;2966568.00000000000000000000000000000000000000000000000000
171;2966312.00000000000000000000000000000000000000000000000000
172;2966928.00000000000000000000000000000000000000000000000000
173;2967052.00000000000000000000000000000000000000000000000000
174;2967052.00000000000000000000000000000000000000000000000000
175;2966796.00000000000000000000000000000000000000000000000000
176;2966924.00000000000000000000000000000000000000000000000000
177;2966860.00000000000000000000000000000000000000000000000000
178;2967052.00000000000000000000000000000000000000000000000000
179;2966860.00000000000000000000000000000000000000000000000000
180;2966980.00000000000000000000000000000000000000000000000000
181;2967052.00000000000000000000000000000000000000000000000000
182;2966860.00000000000000000000000000000000000000000000000000
183;2966924.00000000000000000000000000000000000000000000000000
184;2966860.00000000000000000000000000000000000000000000000000
185;2966860.00000000000000000000000000000000000000000000000000
186;2966980.00000000000000000000000000000000000000000000000000
187;2966864.00000000000000000000000000000000000000000000000000
188;2967056.00000000000000000000000000000000000000000000000000
189;2966800.00000000000000000000000000000000000000000000000000
190;2966800.00000000000000000000000000000000000000000000000000
191;2967056.00000000000000000000000000000000000000000000000000
192;2967056.00000000000000000000000000000000000000000000000000
193;2967056.00000000000000000000000000000000000000000000000000
194;2966920.00000000000000000000000000000000000000000000000000
195;2966864.00000000000000000000000000000000000000000000000000
196;2966800.00000000000000000000000000000000000000000000000000
197;2966920.00000000000000000000000000000000000000000000000000
198;2967056.00000000000000000000000000000000000000000000000000
199;2966864.00000000000000000000000000000000000000000000000000
200;2966928.00000000000000000000000000000000000000000000000000
201;2966800.00000000000000000000000000000000000000000000000000
202;2966864.00000000000000000000000000000000000000000000000000
203;2966800.00000000000000000000000000000000000000000000000000
204;2966800.00000000000000000000000000000000000000000000000000
205;2967056.00000000000000000000000000000000000000000000000000
206;2966920.00000000000000000000000000000000000000000000000000
207;2967056.00000000000000000000000000000000000000000000000000
208;2877396.00000000000000000000000000000000000000000000000000
209;2877080.00000000000000000000000000000000000000000000000000
210;2879036.00000000000000000000000000000000000000000000000000
211;2881520.00000000000000000000000000000000000000000000000000
212;2883540.00000000000000000000000000000000000000000000000000
213;2886452.00000000000000000000000000000000000000000000000000
214;2889324.00000000000000000000000000000000000000000000000000
215;2892376.00000000000000000000000000000000000000000000000000
216;2894904.00000000000000000000000000000000000000000000000000
217;2896616.00000000000000000000000000000000000000000000000000
218;2899568.00000000000000000000000000000000000000000000000000
219;2901748.00000000000000000000000000000000000000000000000000
220;2905872.00000000000000000000000000000000000000000000000000
221;2910300.00000000000000000000000000000000000000000000000000
222;2912168.00000000000000000000000000000000000000000000000000
223;2914720.00000000000000000000000000000000000000000000000000
224;2918316.00000000000000000000000000000000000000000000000000
225;2920580.00000000000000000000000000000000000000000000000000
226;2924464.00000000000000000000000000000000000000000000000000
227;2927056.00000000000000000000000000000000000000000000000000
228;2930188.00000000000000000000000000000000000000000000000000
229;2932512.00000000000000000000000000000000000000000000000000
230;2935360.00000000000000000000000000000000000000000000000000
231;2937744.00000000000000000000000000000000000000000000000000
232;2940096.00000000000000000000000000000000000000000000000000
233;2941876.00000000000000000000000000000000000000000000000000
234;2950584.00000000000000000000000000000000000000000000000000
235;2951272.00000000000000000000000000000000000000000000000000
236;2952444.00000000000000000000000000000000000000000000000000
237;2955800.00000000000000000000000000000000000000000000000000
238;2956656.00000000000000000000000000000000000000000000000000
239;2958428.00000000000000000000000000000000000000000000000000
240;2965180.00000000000000000000000000000000000000000000000000
241;2965804.00000000000000000000000000000000000000000000000000
242;2968352.00000000000000000000000000000000000000000000000000
243;2972516.00000000000000000000000000000000000000000000000000
244;2972516.00000000000000000000000000000000000000000000000000
245;2973384.00000000000000000000000000000000000000000000000000
246;2973384.00000000000000000000000000000000000000000000000000
247;2973640.00000000000000000000000000000000000000000000000000
248;2973384.00000000000000000000000000000000000000000000000000
249;2973384.00000000000000000000000000000000000000000000000000
250;2973640.00000000000000000000000000000000000000000000000000
251;2973384.00000000000000000000000000000000000000000000000000
252;2973512.00000000000000000000000000000000000000000000000000
253;2973448.00000000000000000000000000000000000000000000000000
254;2973448.00000000000000000000000000000000000000000000000000
255;2973384.00000000000000000000000000000000000000000000000000
256;2973448.00000000000000000000000000000000000000000000000000
257;2973640.00000000000000000000000000000000000000000000000000
258;2973708.00000000000000000000000000000000000000000000000000
259;2973708.00000000000000000000000000000000000000000000000000
260;2973708.00000000000000000000000000000000000000000000000000
261;2973452.00000000000000000000000000000000000000000000000000
262;2973452.00000000000000000000000000000000000000000000000000
263;2973516.00000000000000000000000000000000000000000000000000
264;2973708.00000000000000000000000000000000000000000000000000
