Second;RAM_KB
0;521011.20000000001164153218269348144531250000000000000000
1;56501043.20000000298023223876953125000000000000000000000000
2;74783129.59999999403953552246093750000000000000000000000000
3;117782937.59999999403953552246093750000000000000000000000000
4;457795993.60000002384185791015625000000000000000000000000000
5;623622553.60000002384185791015625000000000000000000000000000
6;663478272.00000000000000000000000000000000000000000000000000
7;779034624.00000000000000000000000000000000000000000000000000
8;805625036.79999995231628417968750000000000000000000000000000
9;811024384.00000000000000000000000000000000000000000000000000
10;811665817.60000002384185791015625000000000000000000000000000
11;813478707.20000004768371582031250000000000000000000000000000
12;816915251.20000004768371582031250000000000000000000000000000
13;821222604.79999995231628417968750000000000000000000000000000
14;854312550.39999997615814208984375000000000000000000000000000
15;886716825.60000002384185791015625000000000000000000000000000
16;894280499.20000004768371582031250000000000000000000000000000
17;910080409.60000002384185791015625000000000000000000000000000
18;912140697.60000002384185791015625000000000000000000000000000
19;914393497.60000002384185791015625000000000000000000000000000
20;916725760.00000000000000000000000000000000000000000000000000
21;922252902.39999997615814208984375000000000000000000000000000
22;924268134.39999997615814208984375000000000000000000000000000
23;926385766.39999997615814208984375000000000000000000000000000
24;928426393.60000002384185791015625000000000000000000000000000
25;930469478.39999997615814208984375000000000000000000000000000
26;936673280.00000000000000000000000000000000000000000000000000
27;937666150.39999997615814208984375000000000000000000000000000
28;939266867.20000004768371582031250000000000000000000000000000
29;940519424.00000000000000000000000000000000000000000000000000
30;941859635.20000004768371582031250000000000000000000000000000
31;943388262.39999997615814208984375000000000000000000000000000
32;944560537.60000002384185791015625000000000000000000000000000
33;946223513.60000002384185791015625000000000000000000000000000
34;947605504.00000000000000000000000000000000000000000000000000
35;948986675.20000004768371582031250000000000000000000000000000
36;951139532.79999995231628417968750000000000000000000000000000
37;952711577.60000002384185791015625000000000000000000000000000
38;953574195.20000004768371582031250000000000000000000000000000
39;954601472.00000000000000000000000000000000000000000000000000
40;955839283.20000004768371582031250000000000000000000000000000
41;957276160.00000000000000000000000000000000000000000000000000
42;958201856.00000000000000000000000000000000000000000000000000
43;959573196.79999995231628417968750000000000000000000000000000
44;960829849.60000002384185791015625000000000000000000000000000
45;962072576.00000000000000000000000000000000000000000000000000
46;963563520.00000000000000000000000000000000000000000000000000
47;964785766.39999997615814208984375000000000000000000000000000
48;966674841.60000002384185791015625000000000000000000000000000
49;967477657.60000002384185791015625000000000000000000000000000
50;968428748.79999995231628417968750000000000000000000000000000
51;969551052.79999995231628417968750000000000000000000000000000
52;970828185.60000002384185791015625000000000000000000000000000
53;971839897.60000002384185791015625000000000000000000000000000
54;972912230.39999997615814208984375000000000000000000000000000
55;974161510.39999997615814208984375000000000000000000000000000
56;975510732.79999995231628417968750000000000000000000000000000
57;977412096.00000000000000000000000000000000000000000000000000
58;977975705.60000002384185791015625000000000000000000000000000
59;977975705.60000002384185791015625000000000000000000000000000
60;1026196275.20000004768371582031250000000000000000000000000000
61;1026189721.60000002384185791015625000000000000000000000000000
62;1026121728.00000000000000000000000000000000000000000000000000
63;1026088140.79999995231628417968750000000000000000000000000000
64;1026106163.20000004768371582031250000000000000000000000000000
65;1026087321.60000002384185791015625000000000000000000000000000
66;1026006220.79999995231628417968750000000000000000000000000000
67;1025993113.60000002384185791015625000000000000000000000000000
68;1026000486.39999997615814208984375000000000000000000000000000
69;1026019328.00000000000000000000000000000000000000000000000000
