Second;RAM_KB
0;3053158.39999999990686774253845214843750000000000000000000
1;11431936.00000000000000000000000000000000000000000000000000
2;48440934.39999999850988388061523437500000000000000000000000
3;69231411.20000000298023223876953125000000000000000000000000
4;79500083.20000000298023223876953125000000000000000000000000
5;142296678.40000000596046447753906250000000000000000000000000
6;152771788.80000001192092895507812500000000000000000000000000
7;159032934.40000000596046447753906250000000000000000000000000
8;166651494.40000000596046447753906250000000000000000000000000
9;168541388.80000001192092895507812500000000000000000000000000
10;168565964.80000001192092895507812500000000000000000000000000
11;168641331.19999998807907104492187500000000000000000000000000
12;168787148.80000001192092895507812500000000000000000000000000
13;168867430.40000000596046447753906250000000000000000000000000
14;168867430.40000000596046447753906250000000000000000000000000
15;169121382.40000000596046447753906250000000000000000000000000
16;169295872.00000000000000000000000000000000000000000000000000
17;169372057.59999999403953552246093750000000000000000000000000
18;169692364.80000001192092895507812500000000000000000000000000
19;171426611.19999998807907104492187500000000000000000000000000
20;183267328.00000000000000000000000000000000000000000000000000
21;187738521.59999999403953552246093750000000000000000000000000
22;189700505.59999999403953552246093750000000000000000000000000
23;190631936.00000000000000000000000000000000000000000000000000
24;191945113.59999999403953552246093750000000000000000000000000
25;200078950.40000000596046447753906250000000000000000000000000
26;201100492.80000001192092895507812500000000000000000000000000
27;202017996.80000001192092895507812500000000000000000000000000
28;202952704.00000000000000000000000000000000000000000000000000
29;203990630.40000000596046447753906250000000000000000000000000
30;204825395.19999998807907104492187500000000000000000000000000
31;205971456.00000000000000000000000000000000000000000000000000
32;206648115.19999998807907104492187500000000000000000000000000
33;207853977.59999999403953552246093750000000000000000000000000
34;208648601.59999999403953552246093750000000000000000000000000
35;209612800.00000000000000000000000000000000000000000000000000
36;210445107.19999998807907104492187500000000000000000000000000
37;211369984.00000000000000000000000000000000000000000000000000
38;212637286.40000000596046447753906250000000000000000000000000
39;213508096.00000000000000000000000000000000000000000000000000
40;214264217.59999999403953552246093750000000000000000000000000
41;215158784.00000000000000000000000000000000000000000000000000
42;216283545.59999999403953552246093750000000000000000000000000
43;216955289.59999999403953552246093750000000000000000000000000
44;217852313.59999999403953552246093750000000000000000000000000
45;218601881.59999999403953552246093750000000000000000000000000
46;219544780.80000001192092895507812500000000000000000000000000
47;220710502.40000000596046447753906250000000000000000000000000
48;221401088.00000000000000000000000000000000000000000000000000
49;223286067.19999998807907104492187500000000000000000000000000
50;223860326.40000000596046447753906250000000000000000000000000
51;224559923.19999998807907104492187500000000000000000000000000
52;225447116.80000001192092895507812500000000000000000000000000
53;226684928.00000000000000000000000000000000000000000000000000
54;227068313.59999999403953552246093750000000000000000000000000
55;227883417.59999999403953552246093750000000000000000000000000
56;228501094.40000000596046447753906250000000000000000000000000
57;229578342.40000000596046447753906250000000000000000000000000
58;230303334.40000000596046447753906250000000000000000000000000
59;230762086.40000000596046447753906250000000000000000000000000
60;231888486.40000000596046447753906250000000000000000000000000
61;233200844.80000001192092895507812500000000000000000000000000
62;233926656.00000000000000000000000000000000000000000000000000
63;234559078.40000000596046447753906250000000000000000000000000
64;235439718.40000000596046447753906250000000000000000000000000
65;236263014.40000000596046447753906250000000000000000000000000
66;237432832.00000000000000000000000000000000000000000000000000
67;238199603.19999998807907104492187500000000000000000000000000
68;238927052.80000001192092895507812500000000000000000000000000
69;239862579.19999998807907104492187500000000000000000000000000
70;240390144.00000000000000000000000000000000000000000000000000
71;241150361.59999999403953552246093750000000000000000000000000
72;265833676.80000001192092895507812500000000000000000000000000
73;289763328.00000000000000000000000000000000000000000000000000
74;289705164.80000001192092895507812500000000000000000000000000
75;289764147.19999998807907104492187500000000000000000000000000
76;289686323.19999998807907104492187500000000000000000000000000
77;289764147.19999998807907104492187500000000000000000000000000
78;289751040.00000000000000000000000000000000000000000000000000
79;289672396.80000001192092895507812500000000000000000000000000
80;289725644.80000001192092895507812500000000000000000000000000
81;289887846.39999997615814208984375000000000000000000000000000
82;289788723.19999998807907104492187500000000000000000000000000
83;289841971.19999998807907104492187500000000000000000000000000
84;289955840.00000000000000000000000000000000000000000000000000
85;289955840.00000000000000000000000000000000000000000000000000
86;290050867.19999998807907104492187500000000000000000000000000
87;290011545.60000002384185791015625000000000000000000000000000
88;290050867.19999998807907104492187500000000000000000000000000
89;289953382.39999997615814208984375000000000000000000000000000
90;290004992.00000000000000000000000000000000000000000000000000
91;289952563.19999998807907104492187500000000000000000000000000
92;289991884.80000001192092895507812500000000000000000000000000
93;289952563.19999998807907104492187500000000000000000000000000
94;290050867.19999998807907104492187500000000000000000000000000
95;289991884.80000001192092895507812500000000000000000000000000
96;289984512.00000000000000000000000000000000000000000000000000
97;290060697.60000002384185791015625000000000000000000000000000
98;290060697.60000002384185791015625000000000000000000000000000
99;290002534.39999997615814208984375000000000000000000000000000
100;290054144.00000000000000000000000000000000000000000000000000
101;289995161.60000002384185791015625000000000000000000000000000
102;290126233.60000002384185791015625000000000000000000000000000
103;290008268.80000001192092895507812500000000000000000000000000
104;290086912.00000000000000000000000000000000000000000000000000
105;290022195.19999998807907104492187500000000000000000000000000
106;290126233.60000002384185791015625000000000000000000000000000
107;290060697.60000002384185791015625000000000000000000000000000
108;290060697.60000002384185791015625000000000000000000000000000
109;290145894.39999997615814208984375000000000000000000000000000
110;290033664.00000000000000000000000000000000000000000000000000
111;268786892.80000001192092895507812500000000000000000000000000
112;269060505.60000002384185791015625000000000000000000000000000
113;269419315.19999998807907104492187500000000000000000000000000
114;269814169.60000002384185791015625000000000000000000000000000
115;270261452.80000001192092895507812500000000000000000000000000
116;270566195.19999998807907104492187500000000000000000000000000
117;271035596.80000001192092895507812500000000000000000000000000
118;271374745.60000002384185791015625000000000000000000000000000
119;271848243.19999998807907104492187500000000000000000000000000
120;272237363.19999998807907104492187500000000000000000000000000
121;272689561.60000002384185791015625000000000000000000000000000
122;272778854.39999997615814208984375000000000000000000000000000
123;273078681.60000002384185791015625000000000000000000000000000
124;273494016.00000000000000000000000000000000000000000000000000
125;274048614.39999997615814208984375000000000000000000000000000
126;274574540.80000001192092895507812500000000000000000000000000
127;274835865.60000002384185791015625000000000000000000000000000
128;275619840.00000000000000000000000000000000000000000000000000
129;275922124.80000001192092895507812500000000000000000000000000
130;276244070.39999997615814208984375000000000000000000000000000
131;277364736.00000000000000000000000000000000000000000000000000
132;277721907.19999998807907104492187500000000000000000000000000
133;278253568.00000000000000000000000000000000000000000000000000
134;278434611.19999998807907104492187500000000000000000000000000
135;278462464.00000000000000000000000000000000000000000000000000
136;278579609.60000002384185791015625000000000000000000000000000
137;279053107.19999998807907104492187500000000000000000000000000
138;279101440.00000000000000000000000000000000000000000000000000
139;279383244.80000001192092895507812500000000000000000000000000
140;280468684.80000001192092895507812500000000000000000000000000
141;280637440.00000000000000000000000000000000000000000000000000
142;280877465.60000002384185791015625000000000000000000000000000
143;281200230.39999997615814208984375000000000000000000000000000
144;282085785.60000002384185791015625000000000000000000000000000
145;282178355.19999998807907104492187500000000000000000000000000
146;282651033.60000002384185791015625000000000000000000000000000
147;283036876.80000001192092895507812500000000000000000000000000
148;284232089.60000002384185791015625000000000000000000000000000
149;284388556.80000001192092895507812500000000000000000000000000
150;284361523.19999998807907104492187500000000000000000000000000
151;284707225.60000002384185791015625000000000000000000000000000
152;285056204.80000001192092895507812500000000000000000000000000
153;285913907.19999998807907104492187500000000000000000000000000
154;286042521.60000002384185791015625000000000000000000000000000
155;286420992.00000000000000000000000000000000000000000000000000
156;286978048.00000000000000000000000000000000000000000000000000
157;287463833.60000002384185791015625000000000000000000000000000
158;287871795.19999998807907104492187500000000000000000000000000
159;288737689.60000002384185791015625000000000000000000000000000
160;288950681.60000002384185791015625000000000000000000000000000
161;289662566.39999997615814208984375000000000000000000000000000
162;290428518.39999997615814208984375000000000000000000000000000
163;290874982.39999997615814208984375000000000000000000000000000
164;290773401.60000002384185791015625000000000000000000000000000
165;290773401.60000002384185791015625000000000000000000000000000
166;290865152.00000000000000000000000000000000000000000000000000
167;290825830.39999997615814208984375000000000000000000000000000
168;290734080.00000000000000000000000000000000000000000000000000
169;290793062.39999997615814208984375000000000000000000000000000
170;290838937.60000002384185791015625000000000000000000000000000
171;290734080.00000000000000000000000000000000000000000000000000
172;290773401.60000002384185791015625000000000000000000000000000
173;290806988.80000001192092895507812500000000000000000000000000
174;290838937.60000002384185791015625000000000000000000000000000
175;290741452.80000001192092895507812500000000000000000000000000
176;290866790.39999997615814208984375000000000000000000000000000
177;290866790.39999997615814208984375000000000000000000000000000
178;290829107.19999998807907104492187500000000000000000000000000
179;290744729.60000002384185791015625000000000000000000000000000
180;290763571.19999998807907104492187500000000000000000000000000
181;290842214.39999997615814208984375000000000000000000000000000
182;290737356.80000001192092895507812500000000000000000000000000
183;290743910.39999997615814208984375000000000000000000000000000
184;290829107.19999998807907104492187500000000000000000000000000
185;290842214.39999997615814208984375000000000000000000000000000
186;290842214.39999997615814208984375000000000000000000000000000
187;290783232.00000000000000000000000000000000000000000000000000
188;290750464.00000000000000000000000000000000000000000000000000
189;290776678.39999997615814208984375000000000000000000000000000
190;290786508.80000001192092895507812500000000000000000000000000
191;290858598.39999997615814208984375000000000000000000000000000
192;290787328.00000000000000000000000000000000000000000000000000
193;290757836.80000001192092895507812500000000000000000000000000
194;290774220.80000001192092895507812500000000000000000000000000
195;290849587.19999998807907104492187500000000000000000000000000
196;290847948.80000001192092895507812500000000000000000000000000
197;290738176.00000000000000000000000000000000000000000000000000
198;290770944.00000000000000000000000000000000000000000000000000
199;290843033.60000002384185791015625000000000000000000000000000
200;290816819.19999998807907104492187500000000000000000000000000
201;290718515.19999998807907104492187500000000000000000000000000
202;290725068.80000001192092895507812500000000000000000000000000
203;290770944.00000000000000000000000000000000000000000000000000
204;290816819.19999998807907104492187500000000000000000000000000
