Second;RAM_KB
0;6800.00000000000000000000000000000000000000000000000000
1;327072.00000000000000000000000000000000000000000000000000
2;393212.00000000000000000000000000000000000000000000000000
3;704892.00000000000000000000000000000000000000000000000000
4;747908.00000000000000000000000000000000000000000000000000
5;777560.00000000000000000000000000000000000000000000000000
6;777564.00000000000000000000000000000000000000000000000000
7;749032.00000000000000000000000000000000000000000000000000
8;749032.00000000000000000000000000000000000000000000000000
9;749032.00000000000000000000000000000000000000000000000000
10;749032.00000000000000000000000000000000000000000000000000
